Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris;Column 12;Column 13;Column 14;Column 15
97;Métro;DENFERT-ROCHEREAU;4701323;4;6;;;;Paris;14;;;;
132;Métro;VICTOR HUGO;3802054;2;;;;;Paris;16;;;;
196;Métro;PORTE DOREE;2760380;8;;;;;Paris;12;;;;
229;Métro;LE PELETIER;2304258;7;;;;;Paris;9;;;;
242;Métro;PORTE DE CHARENTON;2151353;8;;;;;Paris;12;;;;
249;Métro;NOTRE-DAME-DES-CHAMPS;2074698;12;;;;;Paris;6;;;;
300;Métro;BUTTES-CHAUMONT;521634;7bis;;;;;Paris;19;;;;
4;RER;CHATELET-LES HALLES-RER;26356131;A;B;;;;Paris;1;;;;
9;RER;NOISY-LE-GRAND-MONT D'EST;7862183;A;;;;;Noisy-le-Grand;;;;;
21;RER;NANTERRE-UNIVERSITE;4501642;A;;;;;Nanterre;;;;;
